BAY_SEG,Year,source,tnload,TN,TN%,,tpload,TP,TP%,,tssload,TSS,TSS%,,bodload,BOD,BOD%,,h2oload10e6m3
2,2020,GW,1.622605306,,0.13%,,7.069519003,,1.09%,,,,0.00%,,,,0.00%,,64.18378207
2,2020,IPS,89.48044502,,7.43%,,88.71615278,,13.69%,,368.400752,,1.85%,,693.6236004,,14.57%,,69.405043
2,2020,NPS,606.8701717,,50.40%,,273.0256632,,42.12%,,19127.08758,,96.08%,,3854.738039,,80.95%,,585.8800883
2,2020,POR,5.535483,,0.46%,,,,0.00%,,,,0.00%,,,,0.00%,,
2,2020,SPR,138.4499476,1204.185298,11.50%,,7.210888818,648.2687513,1.11%,,309.9971314,19908.15453,1.56%,,,4761.888082,0.00%,,68.54714341
2,2021,AD,52.1185161,,4.09%,,0.94869159,,0.15%,,,,0.00%,,,,0.00%,,129.6748211
2,2021,DPS,260.7744037,,20.48%,,251.6766269,,40.75%,,104.2506411,,0.49%,,217.659104,,4.32%,,118.6914892
2,2021,GW,1.622605306,,0.13%,,7.069519003,,1.14%,,,,0.00%,,,,0.00%,,64.18378207
2,2021,IPS,99.75225896,,7.83%,,90.91997819,,14.72%,,405.7637678,,1.90%,,800.1974108,,15.89%,,79.80224931
2,2021,NPS,701.0524152,,55.05%,,260.4479283,,42.17%,,20451.82963,,95.98%,,4019.212692,,79.79%,,607.2826405
2,2021,POR,4.308843,,0.34%,,,,0.00%,,,,0.00%,,,,0.00%,,
2,2021,SPR,153.8980402,1273.527082,12.08%,,6.494471414,617.5572154,1.05%,,347.0998989,21308.94394,1.63%,,,5037.069207,0.00%,,76.72948236
3,2017,AD,89.89176529,,25.62%,,1.644278108,,2.09%,,,,0.00%,,,,0.00%,,233.4585451
3,2017,DPS,22.70411248,,6.47%,,1.83800338,,2.33%,,0.962311022,,0.02%,,3.161688758,,0.31%,,13.46223386
3,2017,GW,0.274404621,,0.08%,,1.557172081,,1.98%,,,,0.00%,,,,0.00%,,9.56339344
3,2017,IPS,34.73470341,,9.90%,,11.40630664,,14.49%,,127.4494479,,3.11%,,96.45201931,,9.35%,,9.114562596
3,2017,NPS,203.2771534,350.8821392,57.93%,,62.29965298,78.74541319,79.12%,,3967.41437,4095.826129,96.86%,,931.7106826,1031.324391,90.34%,,182.8541528
3,2018,AD,172.0706236,,32.14%,,3.040742348,,2.49%,,,,0.00%,,,,0.00%,,379.4340508
3,2018,DPS,22.21600798,,4.15%,,1.365377405,,1.12%,,1.133720092,,0.02%,,3.057807254,,0.19%,,13.81834675
3,2018,GW,0.274404621,,0.05%,,1.557172081,,1.28%,,,,0.00%,,,,0.00%,,9.56339344
