bayseg,YEAR,MONTH,entity,facname,source,tnloadtons,tploadtons,tssloadtons,bodloadtons
1,2022,2,MSGP COT,,Non-Point Source,0.0658884256,0.0109070166,1.6281950755,0.5242139359
1,2022,2,MSGP PINELLAS,,Non-Point Source,0.0894532688,0.0158359108,3.0422366814,0.7272856565
1,2022,2,MacDill AFB,,Non-Point Source,0.0068622741,0.001169791,0.1124641284,0.0431292693
1,2022,2,None,,Non-Point Source,0.0003806148,0.0000179477,0.0048925641,0.0011161471
1,2022,2,OLDSMAR,,Non-Point Source,0.0999400893,0.020531601,3.1256153164,0.5921401653
1,2022,2,PALM BAY,,Non-Point Source,0.0008779657,0.0001954343,0.0309833848,0.0053483339
1,2022,2,PARK PLACE,,Non-Point Source,0.0110364517,0.0022749783,0.3023668335,0.0598718672
1,2022,2,PASCO,,Non-Point Source,0.0103790678,0.0013912478,0.8204837823,0.1853257126
1,2022,2,PINELLAS,,Non-Point Source,0.5934743877,0.1681440783,20.574602876,4.1180248652
1,2022,2,PINELLAS PARK,,Non-Point Source,0.0774852974,0.0164398992,3.475734875,0.5509511139
1,2022,2,SAFETY HARBOR,,Non-Point Source,0.0965293357,0.0224560994,3.0779501489,0.5873739308
1,2022,2,ST PETERSBURG,,Non-Point Source,0.0674349274,0.0144128957,2.7426594256,0.5066056245
1,2022,2,STONEBRIAR,,Non-Point Source,0.0029856224,0.0004183828,0.270241135,0.057011292
1,2022,2,TARPON SPRINGS,,Non-Point Source,0.0121516434,0.0039255576,0.4000302017,0.0868221393
1,2022,2,Tampa,,Non-Point Source,0.3918253487,0.0856430027,15.967390721,3.0000770844
1,2022,2,WESTCHASE,,Non-Point Source,0.0260909296,0.0051797612,0.6751927092,0.141601722
1,2022,2,WESTCHASE EAST,,Non-Point Source,0.0320402141,0.0065034048,0.8946920966,0.1811399426
1,2022,2,Clearwater,City of Clearwater East AWWTF,PS - Domestic - REUSE,0,0,0,0
1,2022,2,Clearwater,City of Clearwater Northeast AWWTF,PS - Domestic - REUSE,0.0681385615,0.0047318445,0.0181387374,0.0157728152
1,2022,2,Largo,City of Largo,PS - Domestic - REUSE,0.1275845493,0.004907098,0.0245354902,0.0490709805
1,2022,2,Oldsmar,City of Oldsmar WRF,PS - Domestic - REUSE,0.0292235214,0.0004286116,0.00448094,0.007792939
1,2022,2,Hillsborough Co.,Northwest Regional WRF,PS - Domestic - REUSE,0.6119936403,0.012142731,0.0169998233,0.0552494259
1,2022,2,Pinellas Co.,On Top Of The World WWTP,PS - Domestic - REUSE,0.0834697378,0.0004379585,0.0021897925,0.004379585
1,2022,2,St. Petersburg,St Pete Facilities,PS - Domestic - REUSE,0.38579932,0.0181940802,0.0114514844,0.0347356179
1,2022,2,Hillsborough Co.,Van Dyke WWTP,PS - Domestic - REUSE,0.2164380747,0.0112547799,0.0058604771,0.0135190551
1,2022,2,Pinellas Co.,William E. Dunn WRF (Pinellas NW),PS - Domestic - REUSE,0.0447527342,0.0053277065,0.0133192661,0.0266385323
1,2022,2,Clearwater,City of Clearwater East AWWTF,PS - Domestic - SW,0.2428663027,0.0513375924,0.110573276,0.1974522786
1,2022,2,Clearwater,City of Clearwater Northeast AWWTF,PS - Domestic - SW,0.2540474761,0.1058531151,0.4057702744,0.3528437169
1,2022,2,Largo,City of Largo,PS - Domestic - SW,1.3876338598,0.1067410661,0.5337053307,1.0674106614
1,2022,2,Oldsmar,City of Oldsmar WRF,PS - Domestic - SW,0.0214276615,0.0010713831,0.0153054725,0.030610945
1,2022,2,Hillsborough Co.,Northwest Regional WRF,PS - Domestic - SW,0.6129946883,0.0729755581,0.1021657814,0.3320387895
1,2022,2,Duke Energy,Duke Energy-Bartow Plant,PS - Industrial,0.0368032354,0,0.0058417834,0.0560811206
1,2022,3,Atmospheric Deposition,,Atmospheric Deposition,6.7635094372,0.1229096781,0,0
1,2022,3,Ground Water,,Ground Water,0.5487808818,0.1630811084,0,0
1,2022,3,CHEVAL WEST,,Non-Point Source,0.0076461464,0.002253829,0.4505082091,0.1104693136
1,2022,3,CLEARWATER,,Non-Point Source,0.2829510377,0.0803849806,13.716471112,2.6083877861
1,2022,3,Conservation,,Non-Point Source,0.158109987,0.0185424353,1.9540140624,0.5696337991
1,2022,3,FDACS (Agriculture),,Non-Point Source,0.2458288483,0.0209471817,3.0252244291,0.5174598504
1,2022,3,HERITAGE HARBOR,,Non-Point Source,0.0071923286,0.0023019736,0.5869609564,0.1203395459
1,2022,3,HILLSBOROUGH,,Non-Point Source,2.0969047887,0.5093203306,87.882781795,17.544864827
1,2022,3,LARGO,,Non-Point Source,0.1378406785,0.0298220955,5.1619700878,0.9572407226
1,2022,3,MSGP COT,,Non-Point Source,0.0852005426,0.0142087076,2.1210701834,0.6829000812
1,2022,3,MSGP PINELLAS,,Non-Point Source,0.1156723199,0.02062964,3.963159951,0.9474441632
1,2022,3,MacDill AFB,,Non-Point Source,0.0088736295,0.0015239015,0.1465084332,0.0561850411
1,2022,3,None,,Non-Point Source,0.0004921742,0.0000233807,0.0063736047,0.0014540189
1,2022,3,OLDSMAR,,Non-Point Source,0.1287243708,0.0265942485,4.059211789,0.7682926886
1,2022,3,PALM BAY,,Non-Point Source,0.0011353004,0.0002545947,0.0403624447,0.0069673418
1,2022,3,PARK PLACE,,Non-Point Source,0.0142712724,0.0029636428,0.3938970733,0.0779958336
1,2022,3,PASCO,,Non-Point Source,0.0223481263,0.0067295958,1.4969471036,0.3384680299
1,2022,3,PINELLAS,,Non-Point Source,0.4223303187,0.1016311118,16.025457052,3.0655327135
1,2022,3,PINELLAS PARK,,Non-Point Source,0.1001964961,0.0214164632,4.5278834947,0.7177309388
