year,month,bayseg,basin,entity,CLUCSID,tnloadtons,tploadtons,tssloadtons,bodloadtons
2022,3,1,02306647,Tampa,3,0.0014878391,0.0003478971,0.0557543533,0.0094326792
2022,3,1,02306647,Tampa,4,0.0004137969,0.000078456,0.0214372475,0.0043797911
2022,3,1,02306647,Tampa,7,0.0000341161,5.7166256E-6,0.0007054147,0.000283997
2022,3,1,02306647,Tampa,16,0,0,0,0
2022,4,1,02306647,FDACS (Agriculture),8,0.0651093968,0.0006445479,0.6561866678,0.0849331035
2022,4,1,02306647,FDACS (Agriculture),10,0.00317844,0.0011880664,0.0117068985,0.0068018226
2022,4,1,02306647,FDACS (Agriculture),11,0.001461262,0.0007994912,0.0090052975,0.0045115492
2022,4,1,02306647,HILLSBOROUGH,1,0.1269173111,0.0256454717,1.3598841722,0.3277747006
2022,4,1,02306647,HILLSBOROUGH,2,0.690786115,0.1294804878,12.76810204,2.5535104568
2022,4,1,02306647,HILLSBOROUGH,3,0.8358938678,0.1820263386,29.171730888,4.9353559293
2022,4,1,02306647,HILLSBOROUGH,4,0.296837763,0.0524138753,14.321522224,2.9259948099
2022,4,1,02306647,HILLSBOROUGH,5,0.1930324574,0.0387112065,12.580625748,1.2625163516
2022,4,1,02306647,HILLSBOROUGH,7,0.1053982202,0.0164475615,2.029580526,0.8171005151
2022,4,1,02306647,HILLSBOROUGH,9,0.0008701044,8.7429254E-6,0.0087801738,0.0011313376
2022,4,1,02306647,HILLSBOROUGH,15,0.0076236496,0.0012337239,0.0983829736,0.0280213017
2022,4,1,02306647,HILLSBOROUGH,16,0,0,0,0
2022,4,1,02306647,HILLSBOROUGH,18,0.145803898,0.0231517523,1.1788696665,0.5237265445
2022,4,1,02306647,HILLSBOROUGH,20,0.0804103573,0.0127680584,0.6501074358,0.2888357282
2022,4,1,02306647,Tampa,1,0.0004682703,0.0000946208,0.0050173882,0.0012093478
2022,4,1,02306647,Tampa,2,0.0002833388,0.0000531088,0.0052370743,0.0010473698
2022,4,1,02306647,Tampa,3,0.0038873472,0.0008465185,0.1356639306,0.0229520074
2022,4,1,02306647,Tampa,4,0.0010811466,0.0001909025,0.0521620481,0.0106570991
2022,4,1,02306647,Tampa,7,0.0000891368,0.0000139099,0.0017164459,0.0006910339
2022,4,1,02306647,Tampa,16,0,0,0,0
2022,5,1,02306647,FDACS (Agriculture),8,0.0635265523,0.0006697954,0.6818901159,0.0882600129
2022,5,1,02306647,FDACS (Agriculture),10,0.0031011704,0.0012346041,0.0121654687,0.0070682564
2022,5,1,02306647,FDACS (Agriculture),11,0.001425738,0.000830808,0.0093580435,0.0046882709
2022,5,1,02306647,HILLSBOROUGH,1,0.123831883,0.0266500289,1.4131521125,0.3406139435
2022,5,1,02306647,HILLSBOROUGH,2,0.6739927327,0.1345523601,13.26824059,2.6535338599
2022,5,1,02306647,HILLSBOROUGH,3,0.8155728379,0.1891564813,30.314414988,5.1286784568
2022,5,1,02306647,HILLSBOROUGH,4,0.2896214772,0.054466976,14.882509702,3.0406087749
2022,5,1,02306647,HILLSBOROUGH,5,0.1883397344,0.0402275609,13.073420675,1.3119703029
