Source,BaySeg,Basin,Fac Name,Year,Month,TNLoad (tons/mnth),TPLoad (tons/mnth),TSS Load (tons/mnth),BOD Load (tons/mnth),H2O Load (10e6m3/mnth),Entity
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2023,8,0.495166251,0.01010253,0.040979276,0.026181204,0.309798118,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2023,8,0.93781487,0.114801475,0.46567359,0.297513683,0.29336943,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2023,9,0.518249641,0.005787121,0.037717057,0.025912482,0.313432114,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2023,9,1.539727194,0.103161722,0.672347541,0.461918158,0.465605676,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2023,10,0.640301187,0.004873404,0.047666866,0.032015059,0.387247648,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2023,10,0.737316518,0.033670788,0.329334711,0.221194955,0.222960767,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2023,11,0.342495415,0.00378172,0.03591445,0.03472523,0.258922181,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2023,11,0.510738777,0.033836444,0.321339814,0.310699422,0.193056012,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2023,12,0.312389367,0.001859461,0.01978466,0.015768225,0.161939925,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2023,12,1.539309924,0.054975354,0.584937771,0.466191006,0.398982425,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2024,1,0.911944115,0.004203998,0.050447972,0.029427984,0.352043316,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2024,1,2.431850972,0.067263963,0.807167557,0.470847741,0.469391088,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2024,2,1.352631563,0.00751462,0.053019817,0.045087719,0.454476565,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2024,2,2.091024638,0.069700821,0.491778017,0.418204928,0.351286234,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2024,3,0.857615529,0.010509994,0.07230876,0.048766373,0.457656311,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2024,3,1.143487372,0.084079954,0.578470082,0.390130986,0.305104207,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2024,4,0.621899569,0.011228742,0.069963702,0.050961215,0.47014817,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2024,4,0.510738777,0.055330034,0.344748674,0.251113232,0.193056012,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2024,5,0.768361424,0.023904578,0.075982408,0.083239154,0.464697177,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2024,5,0.504479723,0.094169548,0.299324636,0.32791182,0.152552104,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2024,6,0.587349593,0.018514281,0.068524119,0.038305408,0.463334429,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2024,6,0.690999521,0.13068904,0.483699665,0.270391117,0.272549664,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2024,7,0.358956726,0.007298787,0.03948524,0.023451839,0.260512054,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2024,7,1.584583745,0.193319217,1.045825272,0.621156828,0.575004083,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2024,8,0.628659347,0.021330438,0.603952776,0.031044906,0.140817326,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2024,8,8.486901185,1.727765439,48.92017485,2.514637388,0.950516953,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2024,9,0.577209926,0.013177812,0.311294033,0.176430204,0.197598506,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2024,9,4.843255702,0.663434649,15.6720444,8.882348193,0.829005228,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2024,10,1.749535679,0.020579474,0.422991372,0.03102809,0.203481037,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2024,10,7.062716121,0.498464772,10.24546576,0.751545433,0.410717202,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2024,11,1.834153077,0.011764517,0.062527946,0.045390657,0.504216878,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2024,11,1.569770651,0.060412386,0.321089451,0.233087157,0.215768484,Bradenton
PS - Domestic - REUSE,7,202-7,City of Bradenton WRF,2024,12,1.21230358,0.01322513,0.049594237,0.085412298,0.499901509,Bradenton
PS - Domestic - SW,7,202-7,City of Bradenton WRF,2024,12,1.309060204,0.085683941,0.321314777,0.55337545,0.269899876,Bradenton
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2022,1,0,0,0,0,0,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2022,1,0.285147462,0.028082705,0.153374771,0.216020804,0.195970779,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2022,2,0,0,0,0,0,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2022,2,0.242866303,0.051337592,0.110573276,0.197452279,0.179125696,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2022,3,0,0,0,0,0,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2022,3,0.268538437,0.163360883,0.163360883,0.223782031,0.203011646,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2022,4,0,0,0,0,0,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2022,4,0.290995922,0.083846283,0.147964028,0.246606713,0.223717849,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2022,5,0.014598867,0.001465578,0.000725675,0.001422892,0.015489906,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2022,5,0.371607525,0.223833772,0.110830315,0.217314342,0.197144257,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2022,6,0.035691627,0.003616481,0.001723743,0.003379889,0.036794205,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2022,6,0.449450123,0.273245246,0.130238388,0.255369388,0.231667214,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2022,7,0,0,0,0,0,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2022,7,0.631919062,0.11067509,0.37486724,0.357016419,0.323879851,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2022,8,0.007768988,0.000344728,0.00088284,0.0008408,0.009153126,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2022,8,0.498012034,0.13258762,0.33955366,0.323384438,0.29336943,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2022,9,0.002854129,0.000125181,0.000306694,0.000312953,0.003406871,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2022,9,0.572728444,0.150718012,0.369259128,0.376795029,0.341822704,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2022,10,0,0,0,0,0,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2022,10,0.559002339,0.083433185,0.305921678,0.278110617,0.25229771,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2022,11,0.005896029,0.00013144,0.000657201,0.000625905,0.006813742,Clearwater
